날짜,종가,오픈,고가,저가,변동 %
1996년 7월,6.798,6.798,6.798,6.798,1.22%
1996년 8월,6.945,6.945,6.945,6.945,2.16%
1996년 9월,6.703,6.703,6.703,6.703,-3.48%
1996년 10월,6.341,6.341,6.341,6.341,-5.40%
1996년 11월,6.048,6.048,6.048,6.048,-4.62%
1996년 12월,6.429,6.429,6.429,6.429,6.30%
1997년 1월,6.503,6.503,6.503,6.503,1.15%
1997년 2월,6.556,6.556,6.556,6.556,0.82%
1997년 3월,6.907,6.907,6.907,6.907,5.35%
1997년 4월,6.715,6.715,6.715,6.715,-2.78%
1997년 5월,6.663,6.663,6.663,6.663,-0.77%
1997년 6월,6.502,6.502,6.502,6.502,-2.42%
1997년 7월,6.013,6.013,6.013,6.013,-7.52%
1997년 8월,6.339,6.339,6.339,6.339,5.42%
1997년 9월,6.103,6.103,6.103,6.103,-3.72%
1997년 10월,5.831,5.831,5.831,5.831,-4.46%
1997년 11월,5.88,5.88,5.88,5.88,0.84%
1997년 12월,5.744,5.744,5.744,5.744,-2.31%
1998년 1월,5.516,5.516,5.516,5.516,-3.97%
1998년 2월,5.624,5.624,5.624,5.624,1.96%
1998년 3월,5.658,5.658,5.658,5.658,0.60%
1998년 4월,5.82,5.82,5.82,5.82,2.86%
1998년 5월,5.558,5.558,5.558,5.558,-4.50%
1998년 6월,5.446,5.446,5.446,5.446,-2.02%
1998년 7월,5.494,5.494,5.494,5.494,0.88%
1998년 8월,5.048,5.048,5.048,5.048,-8.12%
1998년 9월,4.422,4.422,4.422,4.422,-12.40%
1998년 10월,4.603,4.603,4.603,4.603,4.09%
1998년 11월,4.722,4.722,4.722,4.722,2.59%
1998년 12월,4.658,4.658,4.658,4.658,-1.36%
1999년 1월,4.653,4.653,4.653,4.653,-0.11%
1999년 2월,5.294,5.294,5.294,5.294,13.78%
1999년 3월,5.242,5.242,5.242,5.242,-0.98%
1999년 4월,5.35,5.35,5.35,5.35,2.06%
1999년 5월,5.624,5.624,5.624,5.624,5.12%
1999년 6월,5.785,5.785,5.785,5.785,2.86%
1999년 7월,5.902,5.902,5.902,5.902,2.02%
1999년 8월,5.974,5.974,5.974,5.974,1.22%
1999년 9월,5.881,5.881,5.881,5.881,-1.56%
1999년 10월,6.028,6.028,6.028,6.028,2.50%
1999년 11월,6.193,6.193,6.193,6.193,2.74%
1999년 12월,6.435,6.435,6.435,6.435,3.91%
2000년 1월,6.662,6.662,6.662,6.662,3.53%
2000년 2월,6.409,6.409,6.409,6.409,-3.80%
2000년 3월,6.002,6.002,6.002,6.002,-6.35%
2000년 4월,6.218,6.218,6.218,6.218,3.60%
2000년 5월,6.285,6.285,6.285,6.285,1.08%
2000년 6월,6.027,6.027,6.027,6.027,-4.11%
2000년 7월,6.04,6.04,6.04,6.04,0.22%
2000년 8월,5.729,5.729,5.729,5.729,-5.15%
2000년 9월,5.808,5.808,5.808,5.808,1.38%
2000년 10월,5.761,5.761,5.761,5.761,-0.81%
2000년 11월,5.478,5.478,5.478,5.478,-4.91%
2000년 12월,5.112,5.112,5.112,5.112,-6.68%
2001년 1월,5.112,5.112,5.112,5.112,0.00%
2001년 2월,4.904,4.904,4.904,4.904,-4.07%
2001년 3월,4.915,4.915,4.915,4.915,0.22%
2001년 4월,5.336,5.336,5.336,5.336,8.57%
2001년 5월,5.385,5.385,5.385,5.385,0.92%
2001년 6월,5.404,5.404,5.404,5.404,0.35%
2001년 7월,5.055,5.055,5.055,5.055,-6.46%
2001년 8월,4.84,4.84,4.84,4.84,-4.25%
2001년 9월,4.59,4.59,4.59,4.59,-5.17%
2001년 10월,4.244,4.244,4.244,4.244,-7.54%
2001년 11월,4.754,4.754,4.754,4.754,12.02%
2001년 12월,5.029,5.029,5.029,5.029,5.78%
2002년 1월,5.046,5.046,5.046,5.046,0.34%
2002년 2월,4.874,4.874,4.874,4.874,-3.41%
2002년 3월,5.406,5.406,5.406,5.406,10.92%
2002년 4월,5.089,5.089,5.089,5.089,-5.86%
2002년 5월,5.045,5.045,5.045,5.045,-0.86%
2002년 6월,4.809,4.809,4.809,4.809,-4.68%
2002년 7월,4.459,4.459,4.459,4.459,-7.28%
2002년 8월,4.13,4.13,4.13,4.13,-7.38%
2002년 9월,3.6,3.6,3.6,3.6,-12.83%
2002년 10월,3.895,3.895,3.895,3.895,8.19%
2002년 11월,4.211,4.211,4.211,4.211,8.11%
2002년 12월,3.818,3.818,3.818,3.818,-9.33%
2003년 1월,3.966,3.966,3.966,3.966,3.88%
2003년 2월,3.692,3.692,3.692,3.692,-6.91%
2003년 3월,3.802,3.802,3.802,3.802,2.98%
2003년 4월,3.84,3.84,3.84,3.84,1.00%
2003년 5월,3.373,3.373,3.373,3.373,-12.16%
2003년 6월,3.516,3.516,3.516,3.516,4.24%
2003년 7월,4.41,4.41,4.41,4.41,25.43%
2003년 8월,4.47,4.47,4.47,4.47,1.36%
2003년 9월,3.94,3.94,3.94,3.94,-11.86%
2003년 10월,4.297,4.297,4.297,4.297,9.06%
2003년 11월,4.334,4.334,4.334,4.334,0.86%
2003년 12월,4.253,4.253,4.253,4.253,-1.87%
2004년 1월,4.134,4.134,4.134,4.134,-2.80%
2004년 2월,3.972,3.972,3.972,3.972,-3.92%
2004년 3월,3.837,3.837,3.837,3.837,-3.40%
2004년 4월,4.51,4.51,4.51,4.51,17.54%
2004년 5월,4.665,4.665,4.665,4.665,3.44%
2004년 6월,4.583,4.583,4.583,4.583,-1.76%
2004년 7월,4.491,4.491,4.491,4.491,-2.01%
2004년 8월,4.24,4.24,4.24,4.24,-5.59%
2004년 9월,4.123,4.123,4.123,4.123,-2.76%
2004년 10월,4.029,4.029,4.029,4.029,-2.28%
2004년 11월,4.355,4.355,4.355,4.355,8.09%
2004년 12월,4.222,4.222,4.222,4.222,-3.05%
2005년 1월,4.132,4.132,4.132,4.132,-2.13%
2005년 2월,4.381,4.381,4.381,4.381,6.03%
2005년 3월,4.488,4.488,4.488,4.488,2.44%
2005년 4월,4.2,4.2,4.2,4.2,-6.42%
2005년 5월,3.987,3.987,3.987,3.987,-5.07%
2005년 6월,3.921,3.921,3.921,3.921,-1.66%
2005년 7월,4.282,4.282,4.282,4.282,9.21%
2005년 8월,4.014,4.014,4.014,4.014,-6.26%
2005년 9월,4.332,4.332,4.332,4.332,7.92%
2005년 10월,4.557,4.557,4.557,4.557,5.19%
2005년 11월,4.49,4.49,4.49,4.49,-1.47%
2005년 12월,4.395,4.395,4.395,4.395,-2.12%
2006년 1월,4.519,4.519,4.519,4.519,2.82%
2006년 2월,4.557,4.557,4.557,4.557,0.84%
2006년 3월,4.853,4.853,4.853,4.853,6.50%
2006년 4월,5.057,5.057,5.057,5.057,4.20%
2006년 5월,5.123,5.123,5.123,5.123,1.31%
2006년 6월,5.145,5.145,5.145,5.145,0.43%
2006년 7월,4.988,4.988,4.988,4.988,-3.05%
2006년 8월,4.732,4.732,4.732,4.732,-5.13%
2006년 9월,4.633,4.633,4.633,4.633,-2.09%
2006년 10월,4.604,4.604,4.604,4.604,-0.63%
2006년 11월,4.462,4.462,4.462,4.462,-3.08%
2006년 12월,4.7,4.7,4.7,4.7,5.33%
2007년 1월,4.814,4.814,4.814,4.814,2.43%
2007년 2월,4.577,4.577,4.577,4.577,-4.92%
2007년 3월,4.648,4.648,4.648,4.648,1.55%
2007년 4월,4.628,4.628,4.628,4.628,-0.43%
2007년 5월,4.892,4.892,4.892,4.892,5.70%
2007년 6월,5.027,5.027,5.027,5.027,2.76%
2007년 7월,4.733,4.733,4.733,4.733,-5.85%
2007년 8월,4.527,4.527,4.527,4.527,-4.35%
2007년 9월,4.594,4.594,4.594,4.594,1.48%
2007년 10월,4.473,4.473,4.473,4.473,-2.63%
2007년 11월,3.949,3.949,3.949,3.949,-11.71%
2007년 12월,4.035,4.035,4.035,4.035,2.18%
2008년 1월,3.597,3.597,3.597,3.597,-10.86%
2008년 2월,3.519,3.519,3.519,3.519,-2.17%
2008년 3월,3.421,3.421,3.421,3.421,-2.78%
2008년 4월,3.734,3.734,3.734,3.734,9.15%
2008년 5월,4.067,3.74,4.141,3.683,8.92%
2008년 6월,3.975,4.058,4.288,3.858,-2.26%
2008년 7월,3.958,3.967,4.178,3.771,-0.43%
2008년 8월,3.825,3.958,4.094,3.763,-3.36%
2008년 9월,3.829,3.827,3.909,3.251,0.10%
2008년 10월,3.97,3.748,4.11,3.402,3.68%
2008년 11월,2.92,3.959,3.984,2.908,-26.45%
2008년 12월,2.22,2.96,2.962,2.04,-23.97%
2009년 1월,2.851,2.25,2.894,2.148,28.42%
2009년 2월,3.021,2.851,3.058,2.619,5.96%
2009년 3월,2.668,3.02,3.045,2.462,-11.68%
2009년 4월,3.119,2.668,3.166,2.65,16.90%
2009년 5월,3.461,3.115,3.754,3.072,10.97%
2009년 6월,3.537,3.492,4.008,3.454,2.20%
2009년 7월,3.482,3.527,3.766,3.261,-1.55%
2009년 8월,3.401,3.512,3.893,3.374,-2.33%
2009년 9월,3.305,3.403,3.534,3.272,-2.82%
2009년 10월,3.388,3.318,3.581,3.106,2.51%
2009년 11월,3.198,3.396,3.563,3.154,-5.61%
2009년 12월,3.837,3.207,3.918,3.196,19.98%
2010년 1월,3.588,3.858,3.904,3.563,-6.49%
2010년 2월,3.619,3.606,3.828,3.537,0.86%
2010년 3월,3.833,3.625,3.928,3.593,5.91%
2010년 4월,3.659,3.839,4.013,3.655,-4.54%
2010년 5월,3.303,3.663,3.713,3.064,-9.73%
2010년 6월,2.935,3.3,3.427,2.928,-11.14%
2010년 7월,2.905,2.942,3.132,2.855,-1.02%
2010년 8월,2.47,2.925,2.972,2.419,-14.97%
2010년 9월,2.512,2.482,2.849,2.449,1.70%
2010년 10월,2.603,2.515,2.731,2.334,3.62%
2010년 11월,2.797,2.621,2.967,2.458,7.45%
2010년 12월,3.288,2.809,3.568,2.797,17.55%
2011년 1월,3.374,3.305,3.497,3.253,2.62%
2011년 2월,3.422,3.372,3.77,3.372,1.42%
2011년 3월,3.47,3.44,3.598,3.143,1.40%
2011년 4월,3.29,3.476,3.619,3.283,-5.19%
2011년 5월,3.059,3.297,3.323,3.041,-7.02%
2011년 6월,3.16,3.07,3.221,2.842,3.31%
2011년 7월,2.793,3.162,3.223,2.773,-11.63%
2011년 8월,2.234,2.82,2.858,1.976,-20.00%
2011년 9월,1.917,2.222,2.278,1.674,-14.18%
2011년 10월,2.116,1.919,2.42,1.717,10.37%
2011년 11월,2.072,2.135,2.153,1.872,-2.10%
2011년 12월,1.876,2.079,2.167,1.798,-9.43%
2012년 1월,1.795,1.876,2.094,1.792,-4.31%
2012년 2월,1.974,1.797,2.08,1.797,9.95%
2012년 3월,2.214,1.983,2.399,1.931,12.17%
2012년 4월,1.919,2.237,2.308,1.884,-13.33%
2012년 5월,1.563,1.919,1.966,1.533,-18.56%
2012년 6월,1.643,1.57,1.728,1.442,5.14%
2012년 7월,1.47,1.652,1.66,1.381,-10.56%
2012년 8월,1.548,1.468,1.863,1.446,5.36%
2012년 9월,1.633,1.552,1.894,1.542,5.50%
2012년 10월,1.694,1.623,1.856,1.599,3.73%
2012년 11월,1.616,1.702,1.781,1.556,-4.61%
2012년 12월,1.757,1.618,1.847,1.564,8.67%
2013년 1월,1.985,1.757,2.037,1.757,13.00%
2013년 2월,1.881,1.99,2.064,1.836,-5.24%
2013년 3월,1.852,1.877,2.087,1.827,-1.53%
2013년 4월,1.673,1.875,1.888,1.638,-9.65%
2013년 5월,2.132,1.668,2.235,1.614,27.39%
2013년 6월,2.487,2.157,2.667,1.999,16.69%
2013년 7월,2.588,2.495,2.755,2.415,4.02%
2013년 8월,2.789,2.584,2.936,2.552,7.80%
2013년 9월,2.615,2.837,3.007,2.59,-6.24%
2013년 10월,2.552,2.614,2.759,2.471,-2.41%
2013년 11월,2.746,2.56,2.839,2.554,7.60%
2013년 12월,3.026,2.753,3.036,2.752,10.20%
2014년 1월,2.644,3.038,3.041,2.646,-12.63%
2014년 2월,2.649,2.666,2.786,2.57,0.20%
2014년 3월,2.719,2.61,2.821,2.592,2.63%
2014년 4월,2.646,2.726,2.81,2.596,-2.69%
2014년 5월,2.475,2.659,2.7,2.402,-6.46%
2014년 6월,2.532,2.484,2.662,2.475,2.31%
2014년 7월,2.562,2.53,2.692,2.441,1.16%
2014년 8월,2.345,2.562,2.591,2.303,-8.46%
2014년 9월,2.495,2.357,2.655,2.354,6.41%
2014년 10월,2.335,2.5,2.508,1.865,-6.40%
2014년 11월,2.173,2.309,2.407,2.166,-6.96%
2014년 12월,2.17,2.178,2.347,2.009,-0.12%
2015년 1월,1.639,2.2,2.213,1.637,-24.48%
2015년 2월,1.997,1.653,2.164,1.649,21.81%
2015년 3월,1.927,2.005,2.259,1.852,-3.50%
2015년 4월,2.035,1.93,2.11,1.802,5.64%
2015년 5월,2.123,2.049,2.366,2.046,4.32%
2015년 6월,2.349,2.128,2.5,2.106,10.66%
2015년 7월,2.187,2.373,2.47,2.176,-6.91%
2015년 8월,2.214,2.2,2.293,1.905,1.24%
2015년 9월,2.035,2.214,2.303,2.035,-8.10%
2015년 10월,2.146,2.042,2.183,1.904,5.44%
2015년 11월,2.208,2.137,2.377,2.13,2.89%
2015년 12월,2.269,2.217,2.358,2.12,2.79%
2016년 1월,1.923,2.293,2.293,1.911,-15.28%
2016년 2월,1.738,1.933,1.966,1.53,-9.59%
2016년 3월,1.77,1.737,2.002,1.702,1.85%
2016년 4월,1.835,1.784,1.941,1.685,3.65%
2016년 5월,1.851,1.83,1.89,1.7,0.88%
2016년 6월,1.475,1.844,1.856,1.406,-20.33%
2016년 7월,1.45,1.471,1.628,1.321,-1.70%
2016년 8월,1.578,1.463,1.635,1.463,8.87%
2016년 9월,1.598,1.58,1.752,1.519,1.24%
2016년 10월,1.826,1.6,1.879,1.593,14.24%
2016년 11월,2.39,1.838,2.417,1.716,30.92%
2016년 12월,2.446,2.397,2.641,2.34,2.35%
2017년 1월,2.466,2.439,2.555,2.305,0.81%
2017년 2월,2.397,2.461,2.524,2.31,-2.79%
2017년 3월,2.389,2.415,2.629,2.348,-0.33%
2017년 4월,2.289,2.396,2.405,2.165,-4.19%
2017년 5월,2.206,2.282,2.423,2.181,-3.62%
2017년 6월,2.304,2.213,2.309,2.103,4.41%
2017년 7월,2.296,2.314,2.398,2.225,-0.33%
2017년 8월,2.121,2.303,2.321,2.086,-7.64%
2017년 9월,2.339,2.127,2.359,2.016,10.30%
2017년 10월,2.378,2.344,2.477,2.273,1.65%
2017년 11월,2.415,2.379,2.437,2.304,1.58%
2017년 12월,2.405,2.411,2.504,2.314,-0.40%
2018년 1월,2.713,2.429,2.754,2.416,12.77%
2018년 2월,2.864,2.724,2.957,2.648,5.59%
2018년 3월,2.741,2.866,2.936,2.739,-4.31%
2018년 4월,2.955,2.759,3.035,2.717,7.82%
2018년 5월,2.86,2.959,3.128,2.759,-3.20%
2018년 6월,2.86,2.862,3.01,2.822,0.00%
2018년 7월,2.962,2.858,2.99,2.807,3.55%
2018년 8월,2.86,2.958,3.016,2.808,-3.42%
2018년 9월,3.065,2.86,3.113,2.855,7.15%
2018년 10월,3.149,3.067,3.261,3.046,2.75%
2018년 11월,2.993,3.155,3.25,2.988,-4.95%
2018년 12월,2.686,3.037,3.05,2.679,-10.27%
2019년 1월,2.633,2.686,2.799,2.543,-1.98%
2019년 2월,2.717,2.645,2.74,2.624,3.19%
2019년 3월,2.407,2.719,2.768,2.34,-11.41%
2019년 4월,2.504,2.43,2.614,2.424,4.02%
2019년 5월,2.133,2.509,2.578,2.126,-14.79%
2019년 6월,2.007,2.126,2.178,1.974,-5.93%
2019년 7월,2.007,2.045,2.15,1.939,0.03%
2019년 8월,1.499,2.025,2.061,1.443,-25.31%
2019년 9월,1.668,1.508,1.908,1.429,11.24%
2019년 10월,1.688,1.67,1.86,1.505,1.17%
2019년 11월,1.774,1.689,1.973,1.67,5.13%
2019년 12월,1.919,1.796,1.952,1.693,8.18%
2020년 1월,1.505,1.919,1.946,1.503,-21.58%
2020년 2월,1.163,1.514,1.684,1.116,-22.71%
2020년 3월,0.668,1.105,1.283,0.318,-42.59%
2020년 4월,0.646,0.663,0.785,0.543,-3.34%
2020년 5월,0.653,0.63,0.745,0.59,1.08%
2020년 6월,0.658,0.64,0.959,0.618,0.78%
2020년 7월,0.533,0.658,0.724,0.52,-18.94%
2020년 8월,0.706,0.535,0.789,0.504,32.51%
2020년 9월,0.686,0.713,0.731,0.604,-2.93%
2020년 10월,0.874,0.689,0.877,0.653,27.42%
2020년 11월,0.842,0.855,0.975,0.718,-3.61%
2020년 12월,0.916,0.847,0.986,0.834,8.82%
2021년 1월,1.071,0.93,1.187,0.906,16.81%
2021년 2월,1.407,1.071,1.614,1.06,31.38%
2021년 3월,1.744,1.395,1.776,1.383,23.99%
2021년 4월,1.626,1.737,1.753,1.528,-6.77%
2021년 5월,1.581,1.631,1.707,1.469,-2.78%
2021년 6월,1.468,1.608,1.639,1.354,-7.13%
2021년 7월,1.226,1.47,1.485,1.128,-16.51%
2021년 8월,1.307,1.237,1.379,1.127,6.65%
2021년 9월,1.492,1.317,1.567,1.26,14.18%
2021년 10월,1.561,1.501,1.705,1.453,4.58%
2021년 11월,1.456,1.575,1.693,1.412,-6.71%
2021년 12월,1.512,1.477,1.56,1.335,3.82%
2022년 1월,1.784,1.531,1.902,1.529,17.99%
2022년 2월,1.822,1.787,2.065,1.739,2.12%
2022년 3월,2.345,1.84,2.557,1.668,28.74%
2022년 4월,2.938,2.352,2.981,2.352,25.26%
2022년 5월,2.849,2.932,3.203,2.706,-3.00%
2022년 6월,3.017,2.864,3.498,2.833,5.86%
2022년 7월,2.889,3.022,3.022,2.793,-4.22%
